playerID,yearID,stint,teamID,lgID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,nameGiven,masterID
cainlo01,2013,1,KCA,AL,115,399,54,100,21,3,4,46,14,6,33,90,2,4,0,6,10,Lorenzo Lamar,cainlo01-2013-KCA
cainma01,2013,1,SFN,NL,30,52,0,5,0,0,0,2,0,0,2,22,0,0,10,0,1,Matthew Thomas,cainma01-2013-SFN
calhoko01,2013,1,LAA,AL,58,195,29,55,7,2,8,32,2,2,21,41,0,1,0,5,6,Kole Alan,calhoko01-2013-LAA
callaal01,2013,1,LAA,AL,86,294,32,74,13,0,5,36,0,2,34,22,2,0,3,5,8,Alberto Jose,callaal01-2013-LAA
callaal01,2013,2,OAK,AL,50,159,20,43,7,0,5,22,0,0,19,25,0,1,0,1,4,Alberto Jose,callaal01-2013-OAK
canoro01,2013,1,NYA,AL,160,605,81,190,41,0,27,107,7,1,65,85,16,6,0,5,18,Robinson Jose,canoro01-2013-NYA
carpema01,2013,1,SLN,NL,157,626,126,199,55,7,11,78,3,3,72,98,1,9,3,7,4,Matthew Martin,carpema01-2013-SLN
carpmi01,2013,1,BOS,AL,86,216,34,64,18,2,9,43,1,0,22,67,0,2,0,3,3,Christopher Michael,carpmi01-2013-BOS
carroja01,2013,1,MIN,AL,59,191,21,44,6,0,0,9,2,0,13,35,0,1,1,0,2,Jamey Blake,carroja01-2013-MIN
cartech02,2013,1,HOU,AL,148,506,64,113,24,2,29,82,2,0,70,212,1,4,0,5,8,Vernon Christopher,cartech02-2013-HOU
cashnan01,2013,1,SDN,NL,34,53,7,13,1,0,1,3,2,0,1,25,0,0,6,0,0,Andrew Burton,cashnan01-2013-SDN
casilal01,2013,1,BAL,AL,62,112,15,24,4,1,1,10,9,2,9,20,0,0,2,2,1,Alexi,casilal01-2013-BAL
castiwe01,2013,1,CHN,NL,113,380,41,104,23,0,8,32,2,0,34,97,3,11,1,2,13,Welington Andres,castiwe01-2013-CHN
castrja01,2013,1,HOU,AL,120,435,63,120,35,1,18,56,2,1,50,130,3,2,0,4,4,Jason Michael,castrja01-2013-HOU
castrst01,2013,1,CHN,NL,161,666,59,163,34,2,10,44,9,6,30,129,0,7,1,1,21,Starlin DeJesus,castrst01-2013-CHN
cedenro02,2013,1,HOU,AL,51,141,12,31,6,1,1,12,2,1,6,42,0,2,5,1,4,Ronny Alexander,cedenro02-2013-HOU
cedenro02,2013,2,SDN,NL,38,123,12,33,2,2,2,9,3,3,8,31,1,1,1,0,2,Ronny Alexander,cedenro02-2013-SDN
cervefr01,2013,1,NYA,AL,17,52,12,14,3,0,3,8,0,0,8,9,0,1,0,0,1,Francisco,cervefr01-2013-NYA
cespeyo01,2013,1,OAK,AL,135,529,74,127,21,4,26,80,7,7,37,137,5,5,0,3,8,Yoenis,cespeyo01-2013-OAK
chacijh01,2013,1,COL,NL,32,63,2,12,1,0,1,7,0,0,3,15,0,0,2,2,1,Jhoulys Jose,chacijh01-2013-COL
chaveen01,2013,1,SEA,AL,97,266,22,71,10,0,2,14,1,3,9,31,1,0,3,1,9,Endy de Jesus,chaveen01-2013-SEA
chaveer01,2013,1,ARI,NL,80,228,28,64,14,2,9,44,1,0,19,45,4,1,0,5,7,Eric Cesar,chaveer01-2013-ARI
chiselo01,2013,1,CLE,AL,94,289,30,65,17,0,11,36,1,0,16,56,0,2,1,0,8,Lonnie David,chiselo01-2013-CLE
choosh01,2013,1,CIN,NL,154,569,107,162,34,2,21,54,20,11,112,133,5,26,3,2,3,Shin-Soo,choosh01-2013-CIN
ciriape01,2013,1,BOS,AL,28,51,4,11,2,1,1,4,2,1,6,12,0,0,0,1,0,Pedro Joel,ciriape01-2013-BOS
ciriape01,2013,2,SDN,NL,23,63,5,15,1,1,1,4,6,0,3,10,2,1,1,0,2,Pedro Joel,ciriape01-2013-SDN
coghlch01,2013,1,MIA,NL,70,195,10,50,10,3,1,10,2,0,17,43,1,1,0,1,2,Christopher B.,coghlch01-2013-MIA
colabch01,2013,1,MIN,AL,55,160,14,31,3,0,7,17,0,1,20,58,0,1,0,0,5,Christopher Adrian,colabch01-2013-MIN
colvity01,2013,1,COL,NL,27,75,8,12,0,0,3,10,0,0,3,27,1,0,0,0,2,Tyler Eugene,colvity01-2013-COL
congeha01,2013,1,LAA,AL,92,233,23,58,13,1,7,21,0,1,17,61,2,4,0,1,6,Hyun Choi,congeha01-2013-LAA
corbipa01,2013,1,ARI,NL,33,65,8,8,4,0,0,3,0,0,2,23,0,1,5,0,0,Patrick Alan,corbipa01-2013-ARI
corpoca01,2013,1,HOU,AL,64,191,16,43,5,0,7,20,0,0,10,60,1,7,1,1,3,Carlos Fernando,corpoca01-2013-HOU
cowgico01,2013,1,NYN,NL,23,61,7,11,2,0,2,8,0,0,2,15,0,0,0,0,0,Collin Brannen,cowgico01-2013-NYN
cowgico01,2013,2,LAA,AL,50,91,11,21,3,2,2,8,1,0,5,27,0,0,3,0,1,Collin Brannen,cowgico01-2013-LAA
cozarza01,2013,1,CIN,NL,151,567,74,144,30,3,12,63,0,0,26,102,2,2,13,10,18,Zachary Warren,cozarza01-2013-CIN
craigal01,2013,1,SLN,NL,134,508,71,160,29,2,13,97,2,0,40,100,2,10,0,5,12,Allen Thomas,craigal01-2013-SLN
crawfbr01,2013,1,SFN,NL,149,499,52,124,24,3,9,43,1,2,42,96,6,5,1,3,10,Brandon Michael,crawfbr01-2013-SFN
crawfca02,2013,1,LAN,NL,116,435,62,123,30,3,6,31,15,4,28,66,2,3,0,2,4,Carl Demonte,crawfca02-2013-LAN
crispco01,2013,1,OAK,AL,131,513,93,134,22,3,22,66,21,5,61,65,3,0,2,8,7,Covelli Loyce,crispco01-2013-OAK
crowetr01,2013,1,HOU,AL,60,165,18,36,7,1,1,13,6,1,16,39,0,0,0,0,3,Trevor Thornton,crowetr01-2013-HOU
cruzlu01,2013,1,LAN,NL,45,118,12,15,2,0,1,6,0,0,5,20,1,2,2,1,3,Luis Alfonso,cruzlu01-2013-LAN
cruzlu01,2013,2,NYA,AL,16,55,6,10,1,0,0,5,1,0,1,13,0,2,1,0,3,Luis Alfonso,cruzlu01-2013-NYA
cruzne02,2013,1,TEX,AL,109,413,49,110,18,0,27,76,5,1,35,109,2,4,0,4,14,Nelson Ramon,cruzne02-2013-TEX
cruzto03,2013,1,SLN,NL,51,123,13,25,6,1,1,13,0,0,4,25,1,2,0,0,7,Arnoldi Anthony,cruzto03-2013-SLN
cuddymi01,2013,1,COL,NL,130,489,74,162,31,3,20,84,10,3,46,100,5,2,0,3,13,Michael Brent,cuddymi01-2013-COL
culbech01,2013,1,COL,NL,47,99,12,29,5,0,2,12,5,1,4,23,1,0,0,1,5,Charles Edward,culbech01-2013-COL
